location,network_name,ssid,bssid,security_type,band,bandwidth,phy,rssi,bi,age
FToilet,BayView Hotel BH 1,BayView,02:0d:3c:21:99:0d,open,5g153,20,a,-92,100,0ms
FToilet,eduroam,eduroam,18:64:72:4c:9a:62,wpa2-enterprise,2g1,20,n,-74,100,0ms
FToilet,eduroam,eduroam,18:64:72:4c:9a:72,wpa2-enterprise,5g36,40,n/ac,-74,100,0ms
FToilet,eduroam,eduroam,18:64:72:5e:a9:62,wpa2-enterprise,2g1,20,n,-87,100,0ms
FToilet,eduroam,eduroam,18:64:72:5e:a9:72,wpa2-enterprise,5g149,40,n/ac,-86,100,0ms
FToilet,eduroam,eduroam,b0:b8:67:62:a0:31,wpa2-enterprise,5g112,40,n/ac,-80,100,0ms
FToilet,eduroam,eduroam,b0:b8:67:63:30:81,wpa2-enterprise,2g1,20,n,-74,100,0ms
FToilet,eduroam,eduroam,b0:b8:67:63:30:91,wpa2-enterprise,5g149,40,n/ac,-74,100,0ms
FToilet,eduroam,eduroam,b0:b8:67:63:4a:31,wpa2-enterprise,5g124,40,n/ac,-76,100,0ms
FToilet,eduroam,eduroam,b0:b8:67:63:4f:71,wpa2-enterprise,5g116,40,n/ac,-95,100,0ms
FToilet,eduroam,eduroam,b0:b8:67:63:50:a1,wpa2-enterprise,2g11,20,n,-63,100,0ms
FToilet,eduroam,eduroam,b0:b8:67:63:50:b1,wpa2-enterprise,5g153,40,n/ac,-56,100,0ms
FToilet,eduroam,eduroam,b0:b8:67:63:57:51,wpa2-enterprise,5g56,40,n/ac,-73,100,0ms
FToilet,eduroam,eduroam,b0:b8:67:63:6b:81,wpa2-enterprise,2g6,20,n,-68,100,0ms
FToilet,eduroam,eduroam,b0:b8:67:63:6b:91,wpa2-enterprise,5g60,40,n/ac,-61,100,0ms
FToilet,eduroam,eduroam,b0:b8:67:63:7f:31,wpa2-enterprise,5g108,40,n/ac,-84,100,0ms
FToilet,eduroam,eduroam,b4:5d:50:fe:41:82,wpa2-enterprise,2g1,20,n,-81,100,0ms
FToilet,eduroam,eduroam,b4:5d:50:fe:41:92,wpa2-enterprise,5g100,40,n/ac,-87,100,0ms
FToilet,eduroam,eduroam,b4:5d:50:fe:41:c2,wpa2-enterprise,2g6,20,n,-81,100,0ms
FToilet,eduroam,eduroam,b4:5d:50:fe:41:d2,wpa2-enterprise,5g52,40,n/ac,-83,100,0ms
FToilet,eduroam,eduroam,f0:5c:19:ba:be:f2,wpa2-enterprise,5g40,40,n/ac,-94,100,0ms
FToilet,Galaxy A35 5G 21DE,Galaxy,86:7e:c9:50:15:80,wpa2-personal,2g11,20,n,-94,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,18:64:72:4c:9a:61,open,2g1,20,n,-75,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,18:64:72:4c:9a:71,open,5g36,40,n/ac,-74,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,18:64:72:5e:a9:61,open,2g1,20,n,-87,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,18:64:72:5e:a9:71,open,5g149,40,n/ac,-86,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,38:17:c3:0c:7f:f0,open,5g161,40,n/ac,-92,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,b0:b8:67:62:a0:30,open,5g112,40,n/ac,-80,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,b0:b8:67:63:30:80,open,2g1,20,n,-73,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,b0:b8:67:63:30:90,open,5g149,40,n/ac,-74,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,b0:b8:67:63:4a:30,open,5g124,40,n/ac,-77,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,b0:b8:67:63:4f:70,open,5g116,40,n/ac,-95,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,b0:b8:67:63:50:a0,open,2g11,20,n,-63,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,b0:b8:67:63:50:b0,open,5g153,40,n/ac,-56,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,b0:b8:67:63:57:50,open,5g56,40,n/ac,-73,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,b0:b8:67:63:6b:80,open,2g6,20,n,-69,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,b0:b8:67:63:6b:90,open,5g60,40,n/ac,-61,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,b0:b8:67:63:7f:30,open,5g108,40,n/ac,-84,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,b4:5d:50:fe:41:90,open,5g100,40,n/ac,-86,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,b4:5d:50:fe:41:c0,open,2g6,20,n,-80,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,b4:5d:50:fe:41:d0,open,5g52,40,n/ac,-83,100,0ms
FToilet,SMU_Visitor,SMU_Visitor,f0:5c:19:ba:be:f1,open,5g40,40,n/ac,-94,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,18:64:72:4c:9a:60,wpa2-enterprise,2g1,20,n,-74,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,18:64:72:4c:9a:70,wpa2-enterprise,5g36,40,n/ac,-73,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,18:64:72:5e:a9:60,wpa2-enterprise,2g1,20,n,-88,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,18:64:72:5e:a9:70,wpa2-enterprise,5g149,40,n/ac,-86,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,38:17:c3:0c:7f:f1,wpa2-enterprise,5g161,40,n/ac,-92,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,b0:b8:67:62:1f:b2,wpa2-enterprise,5g120,40,n/ac,-81,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,b0:b8:67:62:a0:32,wpa2-enterprise,5g112,40,n/ac,-80,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,b0:b8:67:63:30:82,wpa2-enterprise,2g1,20,n,-74,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,b0:b8:67:63:30:92,wpa2-enterprise,5g149,40,n/ac,-74,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,b0:b8:67:63:4a:32,wpa2-enterprise,5g124,40,n/ac,-76,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,b0:b8:67:63:50:a2,wpa2-enterprise,2g11,20,n,-63,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,b0:b8:67:63:50:b2,wpa2-enterprise,5g153,40,n/ac,-55,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,b0:b8:67:63:51:d2,wpa2-enterprise,5g64,40,n/ac,-92,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,b0:b8:67:63:57:52,wpa2-enterprise,5g56,40,n/ac,-73,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,b0:b8:67:63:63:92,wpa2-enterprise,5g60,40,n/ac,-91,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,b0:b8:67:63:66:22,wpa2-enterprise,2g1,20,n,-89,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,b0:b8:67:63:6b:82,wpa2-enterprise,2g6,20,n,-69,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,b0:b8:67:63:6b:92,wpa2-enterprise,5g60,40,n/ac,-61,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,b0:b8:67:63:7f:22,wpa2-enterprise,2g6,20,n,-90,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,b0:b8:67:63:7f:32,wpa2-enterprise,5g108,40,n/ac,-84,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,b4:5d:50:fe:41:91,wpa2-enterprise,5g100,40,n/ac,-87,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,b4:5d:50:fe:41:c1,wpa2-enterprise,2g6,20,n,-81,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,b4:5d:50:fe:41:d1,wpa2-enterprise,5g52,40,n/ac,-83,100,0ms
FToilet,WLAN-SMU,WLAN-SMU,f0:5c:19:ba:be:f0,wpa2-enterprise,5g40,40,n/ac,-94,100,0ms
GSR2-1,BayView Hotel BH 1,BayView,02:0d:3c:21:99:0d,open,5g153,20,a,-89,100,0ms
GSR2-1,BayView Hotel BH 1,BayView,02:0d:3c:2e:99:ef,open,5g140,20,a,-89,100,0ms
GSR2-1,dlink-M920-e26a,dlink-M920-e26a,bc:22:28:5e:e2:6a,wpa3-transition,2g6,20,n,-75,100,0ms
GSR2-1,eduroam,eduroam,18:64:72:4c:9a:62,wpa2-enterprise,2g1,20,n,-61,100,0ms
GSR2-1,eduroam,eduroam,18:64:72:4c:9a:72,wpa2-enterprise,5g36,40,n/ac,-64,100,0ms
GSR2-1,eduroam,eduroam,18:64:72:5e:a9:72,wpa2-enterprise,5g149,40,n/ac,-94,100,0ms
GSR2-1,eduroam,eduroam,b0:b8:67:62:1f:b0,wpa2-enterprise,5g120,40,n/ac,-87,100,0ms
GSR2-1,eduroam,eduroam,b0:b8:67:62:a0:21,wpa2-enterprise,2g6,20,n,-80,100,0ms
GSR2-1,eduroam,eduroam,b0:b8:67:62:a0:31,wpa2-enterprise,5g112,40,n/ac,-82,100,0ms
GSR2-1,eduroam,eduroam,b0:b8:67:63:30:91,wpa2-enterprise,5g149,40,n/ac,-81,100,0ms
GSR2-1,eduroam,eduroam,b0:b8:67:63:35:51,wpa2-enterprise,5g104,40,n/ac,-85,100,0ms
GSR2-1,eduroam,eduroam,b0:b8:67:63:4a:21,wpa2-enterprise,2g11,20,n,-87,100,0ms
GSR2-1,eduroam,eduroam,b0:b8:67:63:4a:31,wpa2-enterprise,5g124,40,n/ac,-88,100,0ms
GSR2-1,eduroam,eduroam,b0:b8:67:63:4f:71,wpa2-enterprise,5g116,40,n/ac,-84,100,0ms
GSR2-1,eduroam,eduroam,b0:b8:67:63:50:a1,wpa2-enterprise,2g11,20,n,-82,100,0ms
GSR2-1,eduroam,eduroam,b0:b8:67:63:50:b1,wpa2-enterprise,5g153,40,n/ac,-79,100,0ms
GSR2-1,eduroam,eduroam,b0:b8:67:63:51:d0,wpa2-enterprise,5g64,40,n/ac,-89,100,0ms
GSR2-1,eduroam,eduroam,b0:b8:67:63:55:91,wpa2-enterprise,5g132,40,n/ac,-92,100,0ms
GSR2-1,eduroam,eduroam,b0:b8:67:63:57:51,wpa2-enterprise,5g56,40,n/ac,-82,100,0ms
GSR2-1,eduroam,eduroam,b0:b8:67:63:63:90,wpa2-enterprise,5g60,40,n/ac,-88,100,0ms
GSR2-1,eduroam,eduroam,b0:b8:67:63:66:31,wpa2-enterprise,5g48,40,n/ac,-86,100,0ms
GSR2-1,eduroam,eduroam,b0:b8:67:63:6b:81,wpa2-enterprise,2g6,20,n,-73,100,0ms
GSR2-1,eduroam,eduroam,b0:b8:67:63:6b:91,wpa2-enterprise,5g60,40,n/ac,-64,100,0ms
GSR2-1,eduroam,eduroam,f4:2e:7f:24:47:10,wpa2-enterprise,5g124,40,n/ac,-90,100,0ms
GSR2-1,HELLA_DR 760_2771AB,HELLA_DR,90:de:80:27:71:ab,wpa2-personal,2g6,20,n,-90,100,0ms
GSR2-1,i-DRIVE_i12pro_A5ADD0,i-DRIVE_i12pro_A5ADD0,90:de:80:a5:ad:d0,wpa2-personal,2g6,20,n,-87,100,0ms
GSR2-1,IROAD_V9_9BAB67,IROAD_V9_9BAB67,00:0b:81:9b:ab:67,wpa2-personal,2g6,20,n,-68,100,0ms
GSR2-1,IROAD_X9_28AD97,IROAD_X9_28AD97,1c:bf:ce:28:ad:97,wpa2-personal,2g6,20,n,-90,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,18:64:72:4c:9a:61,open,2g1,20,n,-61,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,18:64:72:4c:9a:71,open,5g36,40,n/ac,-64,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,18:64:72:5e:a9:71,open,5g149,40,n/ac,-94,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:62:1f:b1,open,5g120,40,n/ac,-87,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:62:a0:20,open,2g6,20,n,-81,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:62:a0:30,open,5g112,40,n/ac,-82,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:30:90,open,5g149,40,n/ac,-81,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:35:50,open,5g104,40,n/ac,-85,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:4f:70,open,5g116,40,n/ac,-84,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:50:a0,open,2g11,20,n,-81,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:50:b0,open,5g153,40,n/ac,-79,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:51:d1,open,5g64,40,n/ac,-89,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:55:90,open,5g132,40,n/ac,-92,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:57:50,open,5g56,40,n/ac,-82,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:63:91,open,5g60,40,n/ac,-88,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:66:30,open,5g48,40,n/ac,-87,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:6b:80,open,2g6,20,n,-73,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:6b:90,open,5g60,40,n/ac,-64,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b4:5d:50:fd:b4:d0,open,5g52,40,n/ac,-95,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,f4:2e:7f:24:47:11,open,5g124,40,n/ac,-90,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,18:64:72:4c:9a:60,wpa2-enterprise,2g1,20,n,-61,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,18:64:72:4c:9a:70,wpa2-enterprise,5g36,40,n/ac,-64,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:62:1f:b2,wpa2-enterprise,5g120,40,n/ac,-87,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:62:a0:32,wpa2-enterprise,5g112,40,n/ac,-82,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:30:82,wpa2-enterprise,2g1,20,n,-77,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:30:92,wpa2-enterprise,5g149,40,n/ac,-81,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:35:52,wpa2-enterprise,5g104,40,n/ac,-85,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:4a:22,wpa2-enterprise,2g11,20,n,-87,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:4a:32,wpa2-enterprise,5g124,40,n/ac,-88,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:4f:72,wpa2-enterprise,5g116,40,n/ac,-84,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:50:b2,wpa2-enterprise,5g153,40,n/ac,-79,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:51:d2,wpa2-enterprise,5g64,40,n/ac,-89,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:55:92,wpa2-enterprise,5g132,40,n/ac,-93,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:57:52,wpa2-enterprise,5g56,40,n/ac,-82,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:63:92,wpa2-enterprise,5g60,40,n/ac,-88,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:66:32,wpa2-enterprise,5g48,40,n/ac,-87,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:6b:82,wpa2-enterprise,2g6,20,n,-73,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:6b:92,wpa2-enterprise,5g60,40,n/ac,-65,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,f4:2e:7f:24:47:12,wpa2-enterprise,5g124,40,n/ac,-90,100,0ms
GSR2-3/2,Allison,Allison,90:3a:72:39:6b:38,wpa2-personal,2g11,20,n,-86,100,0ms
GSR2-3/2,BayView Hotel BH 1,BayView,02:0d:3c:2e:99:ef,open,5g140,20,a,-95,100,0ms
GSR2-3/2,eduroam,eduroam,18:64:72:4c:9a:62,wpa2-enterprise,2g1,20,n,-81,100,0ms
GSR2-3/2,eduroam,eduroam,18:64:72:4c:9a:72,wpa2-enterprise,5g36,40,n/ac,-86,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:62:a0:21,wpa2-enterprise,2g6,20,n,-78,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:62:a0:31,wpa2-enterprise,5g112,40,n/ac,-77,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:30:81,wpa2-enterprise,2g1,20,n,-74,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:30:91,wpa2-enterprise,5g149,40,n/ac,-79,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:35:51,wpa2-enterprise,5g104,40,n/ac,-93,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:4a:31,wpa2-enterprise,5g124,40,n/ac,-85,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:4f:71,wpa2-enterprise,5g116,40,n/ac,-93,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:50:a1,wpa2-enterprise,2g11,20,n,-79,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:50:b1,wpa2-enterprise,5g153,40,n/ac,-69,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:57:41,wpa2-enterprise,2g11,20,n,-86,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:57:51,wpa2-enterprise,5g56,40,n/ac,-82,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:6b:81,wpa2-enterprise,2g6,20,n,-56,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:6b:91,wpa2-enterprise,5g60,40,n/ac,-47,100,0ms
GSR2-3/2,eduroam,eduroam,b4:5d:50:fd:b4:d2,wpa2-enterprise,5g52,40,n/ac,-93,100,0ms
GSR2-3/2,eduroam,eduroam,b4:5d:50:fe:41:82,wpa2-enterprise,2g1,20,n,-92,100,0ms
GSR2-3/2,Intercom_AV_Control,Intercom_AV_Control,40:16:7e:c1:35:68,wpa2-personal,2g8,20,n,-96,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,18:64:72:4c:9a:61,open,2g1,20,n,-81,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,18:64:72:4c:9a:71,open,5g36,40,n/ac,-86,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,b0:b8:67:62:a0:20,open,2g6,20,n,-78,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,b0:b8:67:62:a0:30,open,5g112,40,n/ac,-77,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,b0:b8:67:63:30:80,open,2g1,20,n,-75,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,b0:b8:67:63:30:90,open,5g149,40,n/ac,-78,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,b0:b8:67:63:35:50,open,5g104,40,n/ac,-93,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,b0:b8:67:63:4a:30,open,5g124,40,n/ac,-85,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,b0:b8:67:63:4f:70,open,5g116,40,n/ac,-94,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,b0:b8:67:63:50:a0,open,2g11,20,n,-80,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,b0:b8:67:63:50:b0,open,5g153,40,n/ac,-69,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,b0:b8:67:63:57:40,open,2g11,20,n,-86,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,b0:b8:67:63:57:50,open,5g56,40,n/ac,-83,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,b0:b8:67:63:6b:80,open,2g6,20,n,-55,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,b0:b8:67:63:6b:90,open,5g60,40,n/ac,-47,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,b4:5d:50:fd:b4:d0,open,5g52,40,n/ac,-93,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,b4:5d:50:fe:41:80,open,2g1,20,n,-92,100,0ms
GSR2-3/2,WLAN-SMU,WLAN-SMU,18:64:72:4c:9a:60,wpa2-enterprise,2g1,20,n,-81,100,0ms
GSR2-3/2,WLAN-SMU,WLAN-SMU,18:64:72:4c:9a:70,wpa2-enterprise,5g36,40,n/ac,-86,100,0ms
GSR2-3/2,WLAN-SMU,WLAN-SMU,b0:b8:67:62:a0:22,wpa2-enterprise,2g6,20,n,-78,100,0ms
GSR2-3/2,WLAN-SMU,WLAN-SMU,b0:b8:67:62:a0:32,wpa2-enterprise,5g112,40,n/ac,-77,100,0ms
GSR2-3/2,WLAN-SMU,WLAN-SMU,b0:b8:67:63:30:82,wpa2-enterprise,2g1,20,n,-76,100,0ms
GSR2-3/2,WLAN-SMU,WLAN-SMU,b0:b8:67:63:30:92,wpa2-enterprise,5g149,40,n/ac,-78,100,0ms
GSR2-3/2,WLAN-SMU,WLAN-SMU,b0:b8:67:63:35:52,wpa2-enterprise,5g104,40,n/ac,-93,100,0ms
GSR2-3/2,WLAN-SMU,WLAN-SMU,b0:b8:67:63:4a:32,wpa2-enterprise,5g124,40,n/ac,-85,100,0ms
GSR2-3/2,WLAN-SMU,WLAN-SMU,b0:b8:67:63:4f:72,wpa2-enterprise,5g116,40,n/ac,-94,100,0ms
GSR2-3/2,WLAN-SMU,WLAN-SMU,b0:b8:67:63:50:a2,wpa2-enterprise,2g11,20,n,-79,100,0ms
GSR2-3/2,WLAN-SMU,WLAN-SMU,b0:b8:67:63:50:b2,wpa2-enterprise,5g153,40,n/ac,-69,100,0ms
GSR2-3/2,WLAN-SMU,WLAN-SMU,b0:b8:67:63:57:42,wpa2-enterprise,2g11,20,n,-86,100,0ms
GSR2-3/2,WLAN-SMU,WLAN-SMU,b0:b8:67:63:57:52,wpa2-enterprise,5g56,40,n/ac,-82,100,0ms
GSR2-3/2,WLAN-SMU,WLAN-SMU,b0:b8:67:63:6b:82,wpa2-enterprise,2g6,20,n,-55,100,0ms
GSR2-3/2,WLAN-SMU,WLAN-SMU,b0:b8:67:63:6b:92,wpa2-enterprise,5g60,40,n/ac,-47,100,0ms
GSR2-3/2,WLAN-SMU,WLAN-SMU,b4:5d:50:fd:b4:d1,wpa2-enterprise,5g52,40,n/ac,-94,100,0ms
GSR2-3/2,WLAN-SMU,WLAN-SMU,b4:5d:50:fe:41:81,wpa2-enterprise,2g1,20,n,-91,100,0ms
GSR2-4,70mai_d06_4d8a,70mai_d06_4d8a,2c:05:47:84:4d:8a,wpa2-personal,2g6,20,n,-74,100,0ms
GSR2-4,Allison,Allison,90:3a:72:39:6b:38,wpa2-personal,2g11,20,n,-87,100,0ms
GSR2-4,BayView Hotel BH 1,BayView,02:0d:3c:2e:99:ef,open,5g140,20,a,-92,100,0ms
GSR2-4,CS168-2096,CS168-2096,60:8a:10:ce:6e:42,open,2g2,20,g,-88,100,0ms
GSR2-4,DIRECT-MBUX 28687,DIRECT-MBUX,9a:49:14:c9:94:05,wpa2-personal,2g11,20,n,-89,100,0ms
GSR2-4,eduroam,eduroam,18:64:72:4c:9a:62,wpa2-enterprise,2g1,20,n,-74,100,0ms
GSR2-4,eduroam,eduroam,18:64:72:4c:9a:72,wpa2-enterprise,5g36,40,n/ac,-79,100,0ms
